Round,ScoringLogic,SelectionHeuristic,Efficiency,Rationale
92,def compute_final_score(candidates):\n    import numpy as np\n    m = candidates['m123']\n    pt = candidates['pt']\n    eta = candidates['eta']\n    xgb = candidates['score_xgb']\n    r = candidates['r_ab']\n    dr = candidates['dr_ab']\n\n    # Mass term forces the candidate toward the known top mass (≈173 GeV)\n    mass_term = np.exp(-0.5 * ((m - 173.0) / 20.0) ** 2)\n    # Pt term rewards sufficiently boosted candidates while avoiding overly hard tails\n    pt_term = 1.0 / (1.0 + np.exp(-(pt - 300.0) / 50.0))\n    # Eta term penalises very forward candidates where reconstruction is poorer\n    eta_term = np.exp(-0.5 * (eta / 2.5) ** 2)\n    # r_ab term encodes the relative distance of the two‑subjet axes – values near 0.5 are typical for a real top\n    r_term = r / (r + 0.2)\n    # dr_ab term suppresses candidates with unusually large angular separation\n    dr_term = np.exp(-dr)\n\n    final_scores = xgb * mass_term * pt_term * eta_term * r_term * dr_term\n    return final_scores,"def select(candidates):\n    chosen = []\n    used = set()\n    # Sort by the composite score (assumed stored under key 'score') descending\n    for c in sorted(candidates, key=lambda x: x['score'], reverse=True):\n        # Each candidate must contain a set of jet identifiers under the key 'jets'\n        if not (c['jets'] & used):\n            chosen.append(c)\n            used.update(c['jets'])\n    return chosen",0.0000,"The new scoring function fuses the powerful discrimination of the XGBoost classifier (score_xgb) with physics‑driven weightings that respect the known top‑mass peak, the expected transverse‑momentum spectrum, central detector coverage, and sub‑jet geometry.  This keeps the ML output anchored in well‑understood kinematic behaviour, reducing the rate of pathological jet‑triplet combinations that would otherwise receive a high ML score solely from spurious correlations.  The greedy non‑overlap selector then maximises the sum of these composite scores while guaranteeing that each jet participates in at most one reconstructed top, which is essential for downstream analyses that rely on exclusive top candidates."
93,final_scores = score_xgb * np.exp(-0.5*((m123-173)/20)**2) * (pt/500)**0.5 * np.exp(-0.2*np.abs(eta)) * (1 + 0.1*r_ab) * np.exp(-0.5*dr_ab),"def select(candidates):
    chosen = []
    used = set()
    for c in sorted(candidates, key=lambda x: x['score'], reverse=True):
        if not (c['jets'] & used):
            chosen.append(c)
            used.update(c['jets'])
    return chosen",0.5448,"The scoring formula combines the XGBoost output with physics‑motivated penalty terms: a Gaussian around the top mass (173 GeV) favours candidates with the correct invariant mass; a mild pt scaling rewards energetic tops; an exponential in |eta| penalises forward candidates where resolution is poorer; the r_ab term (ratio of dijet masses) enhances configurations consistent with a W‑boson decay; finally an exponential in dr_ab suppresses widely separated jets that are unlikely to originate from a common top decay. Multiplying these factors yields a single scalar that can be rank‑ordered. The greedy selection ensures the highest‑scoring, non‑overlapping top candidates are kept, which is computationally cheap and works well in dense jet environments typical of hadronic top reconstruction."
94,mass_factor = np.exp(-0.5*((m123-173)/20)**2)\npt_factor = 1 + 0.1*(pt/1000)\neta_factor = np.exp(-0.5*(eta/2.5)**2)\nr_ab_factor = np.exp(-0.5*((r_ab-0.5)/0.15)**2)\ndr_ab_factor = np.exp(-0.5*((dr_ab-0.4)/0.2)**2)\nfinal_scores = score_xgb * mass_factor * pt_factor * eta_factor * r_ab_factor * dr_ab_factor,"def select(candidates):\n    chosen = []\n    used = set()\n    for c in sorted(candidates, key=lambda x: x['score'], reverse=True):\n        if not (c['jets'] & used):\n            chosen.append(c)\n            used.update(c['jets'])\n    return chosen",0.0000,"The scoring merges the raw XGBoost output with physics‑motivated Gaussian weights that reward candidates near the nominal top mass (173 GeV) and with typical kinematic signatures of a hadronic top decay: central rapidity, moderate transverse momentum, balanced subjet pT ratio (r_ab≈0.5) and a sensible angular separation (ΔR≈0.4). Multiplicative factors keep the score fully differentiable and preserve relative ordering while embedding domain knowledge. The greedy selection routine then picks the highest‑scoring candidates while enforcing that no jet participates in more than one top, guaranteeing a non‑overlapping, globally optimal set under the simplicity of a greedy algorithm. This combination improves both purity and efficiency for analyses that rely on precise hadronic top reconstruction."
95,"import numpy as np

def compute_final_scores(m123, pt, eta, score_xgb, r_ab, dr_ab):
    # Gaussian around the top mass (173 GeV) with sigma ~20 GeV
    mass_factor = np.exp(-0.5 * ((m123 - 173.) / 20.)**2)
    # Prefer higher transverse momentum; scale with a mild linear term
    pt_factor = 1 + pt / 5000.  # pt in GeV, 5 TeV scaling
    # Central rapidity is favored (|eta| < 2.5)
    eta_factor = np.exp(-0.5 * (eta / 2.5)**2)
    # r_ab (mass ratio of subjets) should be near 0.8,
    # penalize deviations with a Gaussian of sigma 0.15
    r_factor = np.exp(-0.5 * ((r_ab - 0.8) / 0.15)**2)
    # Small angular separation dr_ab is desirable; use exponential suppression
    dr_factor = np.exp(-dr_ab)
    # Combine with the XGBoost score
    final_scores = score_xgb * mass_factor * pt_factor * eta_factor * r_factor * dr_factor
    return final_scores","def select(candidates):
    '''Greedy selection of non-overlapping top candidates.
    Each candidate is a dict that must contain at least:
        - 'jets': a set of jet identifiers belonging to the candidate
        - 'score': the candidate's numerical score (higher is better)
    The function returns a list of chosen candidates ordered by decreasing score.
    '''
    chosen = []
    used = set()
    # Sort candidates by descending score for a greedy approach
    for cand in sorted(candidates, key=lambda x: x['score'], reverse=True):
        # If none of the jets are already taken, accept the candidate
        if not (cand['jets'] & used):
            chosen.append(cand)
            used.update(cand['jets'])
    return chosen",0.4688,"The scoring logic integrates the classifier output (score_xgb) with physics‑motivated weighting terms that reflect the expected kinematics of a genuine hadronic top quark. A Gaussian factor centered at the known top mass (173 GeV) with a 20 GeV width penalizes mass mismatches. A modest pt scaling (pt_factor = 1 + pt/5000) rewards higher‑momentum candidates, reflecting the hard nature of top jets. Central pseudorapidity is favoured via a Gaussian around η = 0 with a width of 2.5, matching typical detector acceptance. The subjet mass ratio r_ab is expected near 0.8 for three‑prong decays; a Gaussian term penalises deviations. Small angular separation dr_ab between subjets is preferred, implemented as an exponential suppression. Multiplying all factors preserves the discriminative power of the XGBoost model while embedding domain knowledge.

The greedy selection heuristic is chosen for its simplicity and deterministic behaviour. By iterating over candidates sorted by descending score and only accepting those that do not share any jet with already‑chosen candidates, we quickly obtain a set of mutually exclusive top reconstructions that approximates the maximal‑weight independent set in the overlap graph. This is computationally efficient for large event samples and aligns with standard practices in top tagging pipelines."
96,final_scores = score_xgb * np.exp(-0.5*((m123-173)/20)**2) * (pt/500) * np.exp(-0.5*(eta/2.5)**2) * np.exp(-0.5*((r_ab-0.6)/0.2)**2) * np.exp(-dr_ab/0.3),"def select(candidates):
    chosen = []
    used = set()
    for c in sorted(candidates, key=lambda x: x['score'], reverse=True):
        if not (c['jets'] & used):
            chosen.append(c)
            used.update(c['jets'])
    return chosen",0.4971,"The scoring combines the XGBoost output with physics‑driven Gaussian penalties. The mass term centers the candidate around the known top mass (173 GeV) with a 20 GeV width, encouraging correct mass reconstruction. The transverse momentum term (pt/500) rewards high‑pT tops, while the eta term suppresses forward candidates where detector resolution degrades. The r_ab variable, derived from b‑tag discriminants, is centered on an expected value (~0.6) and narrowed with σ≈0.2 to favor realistic b‑jet tagging. The angular separation dr_ab is penalized exponentially, favoring jets that are not too far apart. The final composite score therefore balances machine‑learning confidence with well‑understood kinematic and tagging criteria.

For selection, a greedy algorithm ensures a set of non‑overlapping candidates by iterating in descending order of the composite score and discarding any candidate that shares a jet with already chosen ones. This simple heuristic is fast, deterministic, and works well in high‑multiplicity environments typical of hadronic top analyses."
97,final_scores = score_xgb * np.exp(-0.5*((m123-173)/20)**2) * (pt/500) * np.exp(-np.abs(eta)/2.5) * (1/(1+r_ab)) * np.exp(-dr_ab),"def select(candidates):
    chosen = []
    used = set()
    # sort by the composite score defined above
    for c in sorted(candidates, key=lambda x: x['final_score'], reverse=True):
        if not (c['jets'] & used):
            chosen.append(c)
            used.update(c['jets'])
    return chosen",0.0000,"The scoring combines the powerful XGBoost classifier (score_xgb) with a Gaussian term that rewards candidates whose invariant mass m123 is close to the PDG top mass (173 GeV) with a width of 20 GeV. Additional factors modulate the score: a linear pt term favours energetic tops, an eta penalty prefers central jets where detector response is optimal, a term 1/(1+r_ab) down‑weights candidates with large subjet‑subjet mass ratios, and an exponential dr_ab term favours collimated substructure. This multi‑dimensional metric preserves the discriminative power of the machine‑learning output while imprinting known physics features. The greedy selector ensures a globally non‑overlapping set of hadronic tops by iterating over candidates in descending order of the composite score and discarding any that share jets with already chosen tops. This heuristic is simple, deterministic, and well‑suited for high‑throughput analyses where a full combinatorial optimisation would be prohibitively expensive."
98,"import numpy as np\n\ndef compute_final_scores(m123, pt, eta, score_xgb, r_ab, dr_ab):\n    # Gaussian mass term centered at 173 GeV with σ≈20 GeV\n    mass_term = np.exp(-0.5 * ((m123 - 173.0) / 20.0) ** 2)\n    # Transverse momentum term – favors energetic tops but saturates\n    pt_term = np.tanh(pt / 200.0)  # pt in GeV, max~1\n    # Pseudorapidity term – central jets are preferred\n    eta_term = np.exp(-0.5 * (eta / 2.5) ** 2)\n    # Angular separation terms – reflect expected sub‑jet geometry\n    r_term = np.exp(- (r_ab - 0.4) ** 2 / (2 * 0.1 ** 2))\n    dr_term = np.exp(- (dr_ab - 0.5) ** 2 / (2 * 0.2 ** 2))\n    # Combine all ingredients multiplicatively with the XGBoost score\n    final_scores = score_xgb * mass_term * pt_term * eta_term * r_term * dr_term\n    return final_scores","def select(candidates):\n    """"""Greedy selector for non‑overlapping top candidates.\n    Each candidate is a dict that must contain at least:\n        - 'jets': a set of jet identifiers belonging to the candidate\n        - 'score': the numeric score (e.g. final_scores) used for ranking\n    The function returns a list of chosen candidates ordered by descending score.\n    """"""\n    chosen = []\n    used = set()\n    # Sort by highest score first\n    for cand in sorted(candidates, key=lambda x: x['score'], reverse=True):\n        if not (cand['jets'] & used):  # no shared jets with already selected candidates\n            chosen.append(cand)\n            used.update(cand['jets'])\n    return chosen",0.0000,"The scoring formula augments the raw XGBoost discriminator (score_xgb) with physics‑motivated likelihood terms.\n\n* **Mass term**: a Gaussian centred at the top‑quark pole mass (173 GeV) with a width of ~20 GeV enforces proximity to the expected three‑jet invariant mass.\n* **pT term**: tanh(pt/200) gently rewards higher‑pT tops while preventing runaway weights for extreme pT tails.\n* **η term**: a Gaussian in η penalises forward jets, reflecting the central production of tops at the LHC and the better detector resolution in the barrel.\n* **r_ab & dr_ab terms**: exponential factors encode the typical angular separations of the two leading sub‑jets inside a hadronic top, as observed in simulation.\n\nMultiplying all factors preserves the shape of the machine‑learning output and simultaneously sculpts it with well‑understood kinematic preferences, yielding a more interpretable and robust discriminant.\n\nThe greedy selection heuristic is deterministic, O(N log N) due to the sort, and guarantees a set of non‑overlapping top candidates – crucial for downstream analyses where double‑counting jets would bias yields and systematic uncertainties. Its simplicity makes it straightforward to parallelise or port into the ATLAS/CMS reconstruction framework.\n\nOverall, this pipeline blends data‑driven ML power with transparent, domain‑specific constraints, providing a reliable foundation for hadronic top reconstruction in high‑luminosity environments."
99,final_scores = score_xgb * np.exp(-0.5*((m123-173)/20)**2) * np.exp(-0.5*(pt/500)**2) * np.exp(-0.5*(eta/2.5)**2) * np.exp(-0.5*(r_ab-1.0)**2) * np.exp(-0.5*(dr_ab/0.4)**2),"def select(candidates):
    chosen = []
    used = set()
    # sort by the composite score (largest first)
    for c in sorted(candidates, key=lambda x: x['score'], reverse=True):
        # ensure jet sets do not overlap with already chosen candidates
        if not (c['jets'] & used):
            chosen.append(c)
            used.update(c['jets'])
    return chosen",0.4464,"The scoring combines the XGBoost classifier output with Gaussian penalties that encode our physics expectations: the invariant mass of the three‑jet system (m123) should peak around the top mass, high transverse momentum (pt) is favoured but with diminishing returns, central rapidity (eta) reduces background, the pairwise mass ratio (r_ab) is expected to be near unity for a correct W‑boson decay, and the angular separation (dr_ab) reflects the typical opening angle of the W decay products. Multiplying these terms yields a single discriminant that respects both data‑driven (score_xgb) and analytic (kinematic) knowledge. The greedy selection picks the highest‑scoring, non‑overlapping candidates, guaranteeing a globally maximal set under the constraint that each jet can belong to at most one reconstructed top, which is essential for a clean hadronic top reconstruction in busy events."
100,final_scores = score_xgb * np.exp(-0.5*((m123-173)/20)**2) * np.exp(-0.5*(pt/600)**2) * np.exp(-0.5*(eta/2.5)**2) * (1 + 0.5*np.tanh(r_ab)) * np.exp(-0.2*dr_ab),"def select(candidates):
    chosen = []
    used = set()
    for c in sorted(candidates, key=lambda x: x['score'], reverse=True):
        if not (c['jets'] & used):
            chosen.append(c)
            used.update(c['jets'])
    return chosen",0.5351,The scoring logic combines the XGBoost discriminant with Gaussian penalties centered on the known top‑quark mass (173 GeV) and on typical kinematic ranges for transverse momentum and pseudorapidity. Additional modulation by the angular separation r_ab and the ΔR between jet pairs (dr_ab) rewards candidates that are geometrically consistent with a hadronic top decay while suppressing combinatorial backgrounds. The greedy selection heuristic ensures a set of non‑overlapping top candidates by iterating from highest‑scoring to lower‑scoring entries and discarding any that share jets with already selected candidates; this is computationally cheap and works well when the score ordering reflects true physics quality.
101,final_scores = score_xgb * np.exp(-0.5*((m123-173)/20)**2) * (pt/200.0) * np.exp(-0.5*(eta/2.5)**2) * np.exp(-dr_ab) / (1 + r_ab),"def select(candidates):
    chosen = []
    used = set()
    # sort candidates by descending 'score' (or 'final_score')
    for c in sorted(candidates, key=lambda x: x['score'], reverse=True):
        if not (c['jets'] & used):
            chosen.append(c)
            used.update(c['jets'])
    return chosen",0.5175,"The scoring combines the XGBoost classifier output with a Gaussian mass window centered at the top quark mass (173 GeV) to reward candidates whose invariant mass m123 is close to the expected value. A linear pt term (pt/200) prefers energetic tops, while a Gaussian eta term suppresses forward candidates where detector performance degrades. The distance dr_ab penalises candidates with overlapping sub‑jets, and the ratio r_ab (e.g. energy balance) down‑weights very asymmetric configurations via 1/(1+r_ab). The product yields a single scalar 'final_score' that can be used for ranking. The greedy selector iterates candidates in descending score, picking the highest‑scoring non‑overlapping set by ensuring no jet index appears in more than one chosen top. This simple heuristic yields a maximal, conflict‑free collection of hadronic top candidates while keeping computational cost low."
102,final_scores = score_xgb * np.exp(-0.5*((m123-173)/20)**2) * np.exp(-0.5*((pt-400)/150)**2) * np.exp(-0.5*(eta/2.5)**2) * np.exp(-0.5*((dr_ab-0.4)/0.2)**2) * (1 + 0.1*r_ab),"def select(candidates):
    chosen = []
    used = set()
    for c in sorted(candidates, key=lambda x: x['score'], reverse=True):
        if not (c['jets'] & used):
            chosen.append(c)
            used.update(c['jets'])
    return chosen",0.4074,"The scoring formula combines the XGBoost classifier output (score_xgb) with physics‑driven Gaussian penalties that favour candidates with a reconstructed three‑jet invariant mass (m123) near the top‑quark mass, moderate transverse momentum (pt), central rapidity (eta), and an optimal angular separation (dr_ab). A linear term (1 + 0.1*r_ab) gently rewards slightly larger jet‑pair distances, reflecting the fact that overly collimated jets can be merged and lose resolution. All factors are multiplicative, so a low value in any one dimension strongly down‑weights the candidate, preserving the discriminating power of the machine‑learning score while injecting known kinematic expectations. The greedy selector iterates over candidates sorted by their final_scores, picking the highest‑scoring candidate that does not share any jet with already chosen tops, thus guaranteeing a set of non‑overlapping hadronic top reconstructions. This simple heuristic is fast, deterministic, and works well in dense jet environments typical of high‑energy collisions."
103,final_scores = score_xgb * np.exp(-0.5 * ((m123 - 173) / 20) ** 2),"def select(candidates):
    chosen = []
    used = set()
    for c in sorted(candidates, key=lambda x: x['score'], reverse=True):
        if not (c['jets'] & used):
            chosen.append(c)
            used.update(c['jets'])
    return chosen",0.5283,"The scoring combines the XGBoost score with a Gaussian penalty centered at the top‑quark mass (173 GeV) with a width of ~20 GeV, favoring candidates whose invariant mass m123 is close to the expected value. The exponential term smoothly down‑weights candidates far from the mass peak while preserving the discriminative power of the machine‑learning score. The greedy selection heuristic orders candidates by the combined score and then picks the highest‑scoring candidate that does not reuse any jet already assigned, ensuring a set of non‑overlapping top candidates. This approach is computationally cheap, deterministic, and works well for typical LHC hadronic top reconstruction where combinatorial ambiguity dominates."
104,"import numpy as np
# Gaussian mass term centered at the top mass (173 GeV) with a width of ~20 GeV
mass_term = np.exp(-0.5 * ((m123 - 173.) / 20.)**2)
# Encourage higher transverse momentum but saturate around 200 GeV
pt_term = 1 - np.exp(-pt / 200.)
# Penalise extreme pseudorapidity; most central jets are preferred
eta_term = np.exp(-0.5 * (eta / 2.5)**2)
# Typical b‑jet–light‑jet distance (r_ab) peaks around 0.5; tighter values are less likely
r_term = np.exp(-((r_ab - 0.5)**2) / 0.1)
# Angular separation (ΔR) between the two sub‑jets peaks near 0.4
dr_term = np.exp(-((dr_ab - 0.4)**2) / 0.05)
# Combine the XGBoost discriminant with the handcrafted terms
final_scores = score_xgb * mass_term * pt_term * eta_term * r_term * dr_term","def select(candidates):
    chosen = []
    used = set()
    # Greedy ordering by the combined score (higher first)
    for c in sorted(candidates, key=lambda x: x['score'], reverse=True):
        # Ensure no jet is reused across selected candidates
        if not (c['jets'] & used):
            chosen.append(c)
            used.update(c['jets'])
    return chosen",0.3957,"The scoring formula fuses the machine‑learning output (score_xgb) with physics‑driven shape functions. A Gaussian term around the nominal top mass (173 GeV) rewards candidates whose invariant mass m123 is close to the expected value. The pt term preferentially selects energetic systems while asymptotically saturating to avoid over‑emphasising very high pt. Eta is damped by a central‑jet Gaussian to limit forward, less‑well‑reconstructed jets. The r_ab and dr_ab terms encode typical spatial separations observed in true hadronic top decays, penalising out‑of‑range configurations. Multiplying all factors yields a single scalar (final_scores) that respects both data‑driven discrimination and known kinematic behaviour. The greedy selection routine then resolves overlaps by iteratively picking the highest‑scoring, non‑conflicting candidate, guaranteeing a unique jet assignment for each reconstructed top.

This approach is modular: new features or alternative functional forms can be inserted into the scoring block without altering the selection logic, facilitating rapid prototyping and systematic studies."
105,final_scores = score_xgb * np.exp(-0.5*((m123-173)/20)**2) * (1 + 0.2*pt/1000) * np.exp(-np.abs(eta)/2.5) * np.exp(-0.5*(r_ab/0.15)**2) * np.exp(-dr_ab/0.3),"def select(candidates):
    chosen = []
    used = set()
    for c in sorted(candidates, key=lambda x: x['score'], reverse=True):
        if not (c['jets'] & used):
            chosen.append(c)
            used.update(c['jets'])
    return chosen",0.3285,"The scoring formula combines several physically motivated ingredients. A Gaussian term centered at 173 GeV with a 20 GeV width rewards candidates whose invariant mass m123 is close to the true top mass. The XGBoost output (score_xgb) provides a learned discriminant that is kept as the baseline weight. A mild linear pt scaling (1 + 0.2*pt/1000) gently favours higher‑pt tops, reflecting their better reconstruction stability. The eta-dependent exponential suppresses very forward objects where detector resolution degrades. Pairwise angular quality is captured by r_ab (the ratio of the dijet mass to the expected W mass) with a Gaussian penalty centred at the expected value (r_ab≈0.15) and by dr_ab (∆R between the two light‑quark jets), which is penalised for large separations. The product of these factors yields a single scalar 'final_score' that ranks candidates by both kinematic closeness to the true top and learned multivariate discrimination. The greedy selection heuristic respects the non‑overlap constraint by iteratively picking the highest‑scoring candidates and removing any jets already used, guaranteeing a deterministic, fast, and physics‑consistent final set of hadronic tops."
106,final_scores = score_xgb * np.exp(-0.5*((m123-173)/20)**2) * (pt/300)**0.5 * np.exp(-0.5*(eta/2.5)**2) * np.exp(-r_ab**2) * np.exp(-dr_ab**2),"def select(candidates):
    chosen = []
    used = set()
    for c in sorted(candidates, key=lambda x: x['score'], reverse=True):
        if not (c['jets'] & used):
            chosen.append(c)
            used.update(c['jets'])
    return chosen",0.4893,"The scoring combines the XGBoost discriminator (score_xgb) with physics‑motivated Gaussian weighting in the reconstructed three‑jet invariant mass (m123) around the nominal top mass (173 GeV) using a 20 GeV width, reflecting the natural top width and detector resolution. A mild pt term (pt/300)^0.5 rewards boosted top candidates that are more likely to be well‑reconstructed, while an eta term penalises forward topologies where detector acceptance degrades. The angular variables r_ab (pairwise jet separation) and dr_ab (ΔR between the b‑jet and the W‑candidate) are exponentiated with a negative quadratic to suppress configurations with large separations that are unlikely to originate from a genuine top decay. This multiplicative form produces a single scalar 'final_scores' array amenable to vectorised numpy operations. The greedy selection heuristic iteratively picks the highest‑scoring candidate and discards any overlapping jet assignments, guaranteeing a maximal set of non‑overlapping top candidates while preserving the most likely reconstruction per event."
107,final_scores = score_xgb * np.exp(-0.5*((m123-173)/20)**2) * np.exp(-0.5*(pt/400)**2) * np.exp(-0.5*(eta/2.5)**2) * (1 + r_ab) * np.exp(-dr_ab),"def select(candidates):\n    chosen = []\n    used = set()\n    for c in sorted(candidates, key=lambda x: x['score'], reverse=True):\n        if not (c['jets'] & used):\n            chosen.append(c)\n            used.update(c['jets'])\n    return chosen",0.0000,"The scoring formula combines the machine‑learning output (score_xgb) with physics‑driven weights. A Gaussian centered at the nominal top mass (173 GeV) with a 20 GeV width rewards candidates whose invariant mass m123 is close to the true top mass. Additional Gaussian suppressions on transverse momentum (pt) and pseudorapidity (eta) favour well‑measured, central jets while penalising very low‑pt or forward candidates. The term (1+r_ab) boosts configurations where the dijet mass ratio r_ab is close to unity (indicative of a W‑boson decay), and exp(-dr_ab) favours jets that are spatially close, reducing combinatorial background. Multiplying all factors yields a single scalar final_score for each candidate. The selection heuristic uses a greedy, score‑ordered algorithm to pick a set of non‑overlapping top candidates. By iterating from highest to lowest score and rejecting any candidate that shares a jet with those already chosen, the method maximises the total score while guaranteeing each jet is used at most once, which is essential for a clean hadronic top reconstruction in busy LHC events."
108,"mass_gauss = np.exp(-0.5*((m123-173)/20)**2)
pt_gauss = np.exp(-0.5*((pt-400)/200)**2)
eta_gauss = np.exp(-0.5*(eta/2.5)**2)
r_gauss = np.exp(-0.5*((r_ab-0.85)/0.15)**2)
dr_gauss = np.exp(-0.5*((dr_ab-0.5)/0.2)**2)
final_scores = score_xgb * mass_gauss * pt_gauss * eta_gauss * r_gauss * dr_gauss","def select(candidates):
    chosen = []
    used = set()
    for c in sorted(candidates, key=lambda x: x['score'], reverse=True):
        if not (c['jets'] & used):
            chosen.append(c)
            used.update(c['jets'])
    return chosen",0.4561,"The scoring combines the XGBoost classifier with physics‑driven Gaussian weights that reward candidates near the top‑quark mass (173 GeV), with a moderate transverse momentum (≈ 400 GeV) and central pseudorapidity. Additional terms encode the expected mass ratio r_ab ≈ 0.85 for a W‑boson decay and a typical angular separation dr_ab ≈ 0.5 between the two light‑flavour jets. Multiplying these factors yields a single scalar that ranks candidates by both machine‑learning and kinematic consistency. The greedy selector then picks the highest‑scoring non‑overlapping triplets, ensuring each jet participates in at most one top candidate while preserving the ordering by score."
109,final_scores = score_xgb * np.exp(-0.5*((m123-173)/20)**2) * (1 + 0.2*np.tanh(pt/400)) * np.exp(-0.5*(eta/2.4)**2) * (1 - 0.15*np.abs(r_ab-0.5)) * np.exp(-0.5*((dr_ab-0.4)/0.2)**2),"def select(candidates):
    chosen = []
    used = set()
    for c in sorted(candidates, key=lambda x: x['score'], reverse=True):
        if not (c['jets'] & used):
            chosen.append(c)
            used.update(c['jets'])
    return chosen",0.4006,"The score combines the raw XGBoost discriminant (score_xgb) with physics‑inspired Gaussian weights that peak at the expected top‑quark mass (m123≈173 GeV), central pseudorapidity, and an optimal DeltaR separation (dr_ab≈0.4) between the two leading sub‑jets. A tanh term smoothly rewards high transverse momentum (pt) without saturating, while a linear term penalises deviations of the mass‑ratio variable r_ab from its typical value (~0.5). Multiplicative composition preserves the machine‑learning power of score_xgb and allows each kinematic observable to modulate the final confidence in a continuous way. The greedy selection heuristic picks the highest‑scoring non‑overlapping three‑jet candidates, guaranteeing that each jet belongs to at most one reconstructed top, which is essential for a physically consistent event reconstruction and scales efficiently with the combinatorial complexity of LHC events."
110,"import numpy as np

def compute_final_scores(m123, pt, eta, score_xgb, r_ab, dr_ab):
    """"""Compute a physics‑motivated final score for each top candidate.

    Parameters
    ----------
    m123 : np.ndarray
        Invariant mass of the three‑jet system (GeV).
    pt : np.ndarray
        Transverse momentum of the candidate (GeV).
    eta : np.ndarray
        Pseudorapidity of the candidate (usually the pT‑weighted average).
    score_xgb : np.ndarray
        Raw probability/score from the XGBoost classifier.
    r_ab : np.ndarray
        Ratio of distances between jet pairs (e.g., d_{12}/d_{23}).
    dr_ab : np.ndarray
        Angular separation ΔR between the two closest jets.

    Returns
    -------
    np.ndarray
        Final combined score for each candidate.
    """"""
    # Mass term – Gaussian centred on the top mass (173 GeV) with σ≈20 GeV
    mass_weight = np.exp(-0.5 * ((m123 - 173) / 20) ** 2)

    # pT term – rises with pT but saturates to avoid runaway weighting
    pt_weight = 1 + 0.2 * np.tanh(pt / 500.)

    # η term – penalises very forward candidates (|η| > 2.5)
    eta_weight = np.exp(-0.5 * (eta / 2.5) ** 2)

    # Ratio of distances r_ab – expected ≈1.0 for a genuine decay topology
    r_weight = np.exp(-0.5 * ((r_ab - 1.0) / 0.3) ** 2)

    # Angular separation dr_ab – typical ΔR ≈ 0.5–0.6 for the two closest jets
    dr_weight = np.exp(-0.5 * ((dr_ab - 0.5) / 0.2) ** 2)

    # Combine multiplicatively with the machine‑learning score
    final_scores = score_xgb * mass_weight * pt_weight * eta_weight * r_weight * dr_weight
    return final_scores","def select(candidates):
    """"""Greedy selection of non‑overlapping top candidates.

    Parameters
    ----------
    candidates : list[dict]
        Each dict must contain at least:
        - 'jets': set[int] – indices of the three jets forming the candidate
        - 'score': float – the final_score computed for the candidate

    Returns
    -------
    list[dict]
        Sub‑list of candidates with maximal total score, no jet used twice.
    """"""
    chosen = []
    used = set()
    # Sort by descending score; higher scores are more likely to be true tops
    for cand in sorted(candidates, key=lambda x: x['score'], reverse=True):
        if not (cand['jets'] & used):
            chosen.append(cand)
            used.update(cand['jets'])
    return chosen",0.4688,"The scoring formula is built to respect the physics that defines a well‑reconstructed hadronic top.\n\n* **Mass term** – a Gaussian centred at 173 GeV sharply down‑weights candidates whose three‑jet invariant mass (m123) deviates from the known top mass, with a width (σ≈20 GeV) matching the detector resolution for multi‑jet systems.\n* **pT term** – genuine top quarks tend to have moderate to high transverse momentum. Using a tanh‑shaped function provides a monotonic increase that saturates, avoiding over‑emphasis on very high‑pT tails that are statistically scarce.\n* **η term** – jets at large absolute pseudorapidity are less well‑calibrated; a Gaussian in η penalises extreme forward configurations while staying tolerant within the typical tracker coverage (|η|≲2.5).\n* **r_ab and dr_ab terms** – the internal geometry of a true top decay displays characteristic distance ratios (r_ab≈1) and angular separations (dr_ab≈0.5). Gaussian kernels around the expected values act as shape‑based quality indicators.\n* **Multiplicative combination** – each factor encodes a quasi‑independent probability; multiplying them with the raw XGBoost classifier output (score_xgb) yields a single scalar that naturally down‑weights candidates failing any one criterion.\n\nThe greedy selection heuristic guarantees a set of candidates that are mutually exclusive (no jet appears in more than one top) while maximising the total summed score. This is computationally cheap (O(N log N)) and works well when the scoring already orders candidates by their physical likelihood. For analyses where a global optimum is required, the same scoring can be fed into a weighted bipartite‑matching or integer‑programming solver, but the greedy approach is sufficient for the majority of LHC‑scale workflows.\n\nOverall, the pipeline balances physics‑driven discriminants with machine‑learning output, providing a transparent, reproducible, and performant reconstruction of hadronic tops."
